Type	Checked?	Remedy	Position	Validation error	Text of example
M			2.4.80 example 1	"cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:r'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXml, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":sdt, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":p, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tbl, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":proofErr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":permStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":permEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":ins, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":del, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFrom, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveTo, ""http://schemas.openxmlformats.org/officeDocument/2006/math"":oMathPara, ""http://schemas.openxmlformats.org/officeDocument/2006/math"":oMath, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":altChunk}' is expected. ::: "	" <w:tc>    <w:tcPr>      <w:vAlign w:val=""bottom"" />    </w:tcPr>    <w:r>      <w:t>R1C1</w:t>    </w:r>  </w:tc> "
E			2.4.82 example 1	" cvc-enumeration-valid: Value 'fixed' is not facet-valid with respect to enumeration '[nil, pct, dxa, auto]'. It must be a value from the enumeration. ::: "	" <w:tr>  <w:trPr>    <w:gridAfter w:val=""2""/>    <w:wAfter w:type=""fixed"" w:w=""1440""/>  </w:trPr>  …</w:tr> "
E			2.4.83 example 1	" cvc-enumeration-valid: Value 'fixed' is not facet-valid with respect to enumeration '[nil, pct, dxa, auto]'. It must be a value from the enumeration. ::: "	" <w:tr>  <w:trPr>    <w:gridBefore w:val=""1""/>    <w:wBefore w:type=""fixed"" w:w=""1440""/>  </w:trPr>  …</w:tr> "
E			2.5.1.1 example 1	"The value of attribute ""w:name"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:name"" associated with an element type ""null"" must not contain the '<' character."	" <w:customXmlPr>  <w:attr w:name=""companyName"" … />  <w:attr w:name=""companySymbol … /></w:customXmPr> "
E			2.5.1.3 example 3	The markup in the document following the root element must be well-formed.	" <w:customXml … w:uri=""urn:customXmlExample"" />  …</w:customXml> "
E			2.5.1.4 example 3	The markup in the document following the root element must be well-formed.	" <w:customXml … w:uri=""urn:customXmlExample"" />  …</w:customXml> "
E			2.5.1.5 example 3	The markup in the document following the root element must be well-formed.	" <w:customXml … w:uri=""urn:customXmlExample"" />  …</w:customXml> "
E			2.5.1.6 example 3	The markup in the document following the root element must be well-formed.	" <w:customXml … w:uri=""urn:customXmlExample"" />  …</w:customXml> "
E			2.5.1.9 example 3	The markup in the document following the root element must be well-formed.	" <w:customXml … w:uri=""urn:customXmlExample"" />  …</w:customXml> "
E			2.5.2.19 example 1	cvc-datatype-valid.1.2.1: '01-01-2006T06:30:00Z' is not a valid value for 'dateTime'. ::: 	" <w:sdtPr>  <w:date w:fullDate=""01-01-2006T06:30:00Z"">    <w:lid w:val=""ja-JP""/>  </w:date></w:sdtPr> "
T			2.5.2.27 example 1	"The element type ""w:rPr"" must be terminated by the matching end-tag ""</w:rPr>"". Nested exception: The element type ""w:rPr"" must be terminated by the matching end-tag ""</w:rPr>""."	" <w:sdt>  <w:sdtPr>    <w:placeholder>      <w:docPart w:val=""TestPlaceholderDocPart""/>    </w:placeholder>    <w:showingPlcHdr/>    <w:rPr>      <w:rStyle w:val=""UserName""/>    </w:rPr>    …  </w:sdtPr>  <w:sdtEndPr>    <w:rPr>      <w:b/>        <w:i/>    <w:rPr>  </w:sdtEndPr>  <w:sdtContent>    …  </w:sdtContent></w:sdt> "
E			2.5.2.29 example 1	"The element type ""w:p"" must be terminated by the matching end-tag ""</w:p>"". Nested exception: The element type ""w:p"" must be terminated by the matching end-tag ""</w:p>""."	" <w:p>  <w:sdt>    <w:sdtPr>      <w:alias w:val=""firstName""/>    </w:sdtPr>    <w:sdtContent>      <w:r>        …      </w:r>      <w:r>        …      </w:r>    </w:sdtContent>  </w:sdt>  …</w:tr> "
E			2.5.2.3 example 1	cvc-datatype-valid.1.2.1: '01-01-2006T06:30:00Z' is not a valid value for 'dateTime'. ::: 	" <w:sdtPr>  <w:date w:fullDate=""01-01-2006T06:30:00Z"">    <w:calendar w:val=""gregorian""/>  </w:date></w:sdtPr> "
E			2.5.2.6 example 2	cvc-complex-type.3.2.2: Attribute 'w:prefixMapping' is not allowed to appear in element 'w:dataBinding'. ::: 	" <w:sdtPr>  <w:dataBinding w:xpath=""//ns0:book"" w:prefixMapping=""xmlns:ns0=  'http://example.com/example'""/>  <w:text/></w:sdtPr> "
E			2.5.2.6 example 4	cvc-complex-type.3.2.2: Attribute 'w:prefixMapping' is not allowed to appear in element 'w:dataBinding'. ::: 	" <w:sdtPr>  <w:dataBinding w:xpath=""//ns0:book"" w:prefixMapping=""xmlns:ns0=  'http://example.com/example'""/>  <w:text/></w:sdtPr> "
E			2.5.2.7 example 2	cvc-datatype-valid.1.2.1: '01-01-2006T05:30:00Z' is not a valid value for 'dateTime'. ::: 	" <w:sdtPr>  …  <w:date w:fullDate=""01-01-2006T05:30:00Z"">    …  </w:date></w:sdtPr> "
E			2.5.2.8 example 1	cvc-datatype-valid.1.2.1: '01-01-2006T06:30:00Z' is not a valid value for 'dateTime'. ::: 	" <w:sdtPr>  <w:date w:fullDate=""01-01-2006T06:30:00Z"">    <w:dateFormat w:val=""MM-YYYY""/>  </w:date></w:sdtPr> "
M			2.6.11 example 1	cvc-complex-type.4: Attribute 'header' must appear on element 'w:pgMar'. ::: 	" <w:sectPr>  <w:pgMar w:bottom=""1440"" w:top=""1440"" w:right=""1440"" w:left=""1440""/>  …</w:sectPr> "
E			2.6.12 example 2	 cvc-complex-type.3.2.2: Attribute 'chapStyle' is not allowed to appear in element 'w:pgNumType'. ::: 	" <w:pgNumType w:chapSep=""colon"" chapStyle=""1"" /> "
E			2.6.12 example 3	" cvc-enumeration-valid: Value '2' is not facet-valid with respect to enumeration '[decimal, upperRoman, lowerRoman, upperLetter, lowerLetter, ordinal, cardinalText, ordinalText, hex, chicago, ideographDigital, japaneseCounting, aiueo, iroha, decimalFullWidth, decimalHalfWidth, japaneseLegal, japaneseDigitalTenThousand, decimalEnclosedCircle, decimalFullWidth2, aiueoFullWidth, irohaFullWidth, decimalZero, bullet, ganada, chosung, decimalEnclosedFullstop, decimalEnclosedParen, decimalEnclosedCircleChinese, ideographEnclosedCircle, ideographTraditional, ideographZodiac, ideographZodiacTraditional, taiwaneseCounting, ideographLegalTraditional, taiwaneseCountingThousand, taiwaneseDigital, chineseCounting, chineseLegalSimplified, chineseCountingThousand, koreanDigital, koreanCounting, koreanLegal, koreanDigital2, vietnameseCounting, russianLower, russianUpper, none, numberInDash, hebrew1, hebrew2, arabicAlpha, arabicAbjad, hindiVowels, hindiConsonants, hindiNumbers, hindiCounting, thaiLetters, thaiNumbers, thaiCounting]'. It must be a value from the enumeration. ::: "	" <w:pgNumType w:fmt=""2""/> "
T			2.6.15 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
T			2.6.2 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
E			2.6.21 example 1	"cvc-enumeration-valid: Value 'balloons' is not facet-valid with respect to enumeration '[nil, none, single, thick, double, dotted, dashed, dotDash, dotDotDash, triple, thinThickSmallGap, thickThinSmallGap, thinThickThinSmallGap, thinThickMediumGap, thickThinMediumGap, thinThickThinMediumGap, thinThickLargeGap, thickThinLargeGap, thinThickThinLargeGap, wave, doubleWave, dashSmallGap, dashDotStroked, threeDEmboss, threeDEngrave, outset, inset, apples, archedScallops, babyPacifier, babyRattle, balloons3Colors, balloonsHotAir, basicBlackDashes, basicBlackDots, basicBlackSquares, basicThinLines, basicWhiteDashes, basicWhiteDots, basicWhiteSquares, basicWideInline, basicWideMidline, basicWideOutline, bats, birds, birdsFlight, cabins, cakeSlice, candyCorn, celticKnotwork, certificateBanner, chainLink, champagneBottle, checkedBarBlack, checkedBarColor, checkered, christmasTree, circlesLines, circlesRectangles, classicalWave, clocks, compass, confetti, confettiGrays, confettiOutline, confettiStreamers, confettiWhite, cornerTriangles, couponCutoutDashes, couponCutoutDots, crazyMaze, creaturesButterfly, creaturesFish, creaturesInsects, creaturesLadyBug, crossStitch, cup, decoArch, decoArchColor, decoBlocks, diamondsGray, doubleD, doubleDiamonds, earth1, earth2, eclipsingSquares1, eclipsingSquares2, eggsBlack, fans, film, firecrackers, flowersBlockPrint, flowersDaisies, flowersModern1, flowersModern2, flowersPansy, flowersRedRose, flowersRoses, flowersTeacup, flowersTiny, gems, gingerbreadMan, gradient, handmade1, handmade2, heartBalloon, heartGray, hearts, heebieJeebies, holly, houseFunky, hypnotic, iceCreamCones, lightBulb, lightning1, lightning2, mapPins, mapleLeaf, mapleMuffins, marquee, marqueeToothed, moons, mosaic, musicNotes, northwest, ovals, packages, palmsBlack, palmsColor, paperClips, papyrus, partyFavor, partyGlass, pencils, people, peopleWaving, peopleHats, poinsettias, postageStamp, pumpkin1, pushPinNote2, pushPinNote1, pyramids, pyramidsAbove, quadrants, rings, safari, sawtooth, sawtoothGray, scaredCat, seattle, shadowedSquares, sharksTeeth, shorebirdTracks, skyrocket, snowflakeFancy, snowflakes, sombrero, southwest, stars, starsTop, stars3d, starsBlack, starsShadowed, sun, swirligig, tornPaper, tornPaperBlack, trees, triangleParty, triangles, tribal1, tribal2, tribal3, tribal4, tribal5, tribal6, twistedLines1, twistedLines2, vine, waveline, weavingAngles, weavingBraid, weavingRibbon, weavingStrips, whiteFlowers, woodwork, xIllusions, zanyTriangles, zigZag, zigZagStitch]'. It must be a value from the enumeration. ::: "	" <w:sectPr>  …  <w:pgBorders>    <w:top w:val=""balloons"" .../>  </w:pgBorders>  …</w:sectPr> "
T			2.6.21 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
E			2.6.5 example 1	 cvc-complex-type.3.2.2: Attribute 'w:charSize' is not allowed to appear in element 'w:docGrid'. ::: 	" <w:docGrid w:charSize=""40960"" …/> "
T			2.6.7 example 5	"The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character. Nested exception: The value of attribute ""w:space"" associated with an element type ""null"" must not contain the '<' character."	" <w:pgBorders w:offsetFrom=""page"">    <w:bottom … w:space=""24/>   </w:pgBorders "
E			2.7.3.5 example 5	 cvc-complex-type.3.2.2: Attribute 'w:defSemiHIdden' is not allowed to appear in element 'w:latentStyles'. ::: 	" <w:latentStyles … w:defSemiHIdden=""false"">  …</w:latentStyles> "
T			2.7.4.1 example 1	"The element type ""w:rPr"" must be terminated by the matching end-tag ""</w:rPr>"". Nested exception: The element type ""w:rPr"" must be terminated by the matching end-tag ""</w:rPr>""."	" <w:docDefaults>  <w:pPrDefault>    <w:pPr>      <w:jc w:val=""center""/>    </w:pPr>  </w:pPrDefault>  <w:rPrDefault>    <w:rPr>      <w:b/>    </w::rPr>  </w:rPrDefault></w:docDefaults> "
T			2.7.4.4 example 1	"The element type ""w:rPr"" must be terminated by the matching end-tag ""</w:rPr>"". Nested exception: The element type ""w:rPr"" must be terminated by the matching end-tag ""</w:rPr>""."	 <w:docDefaults>  …  <w:rPrDefault>    <w:rPr>      <w:b/>    </w::rPr>  </w:rPrDefault></w:docDefaults> 
T			2.7.4.5 example 1	"The element type ""w:rPr"" must be terminated by the matching end-tag ""</w:rPr>"". Nested exception: The element type ""w:rPr"" must be terminated by the matching end-tag ""</w:rPr>""."	 <w:docDefaults>  …  <w:rPrDefault>    <w:rPr>      <w:b/>    </w::rPr>  </w:rPrDefault></w:docDefaults> 
E			2.9.10 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:nfc'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":numFmt, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lvlRestart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":pStyle, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":isLgl, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":suff, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lvlText, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lvlPicBulletId, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":legacy, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lvlJc, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":pPr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":rPr}' is expected. ::: "	" <w:numPicBullet w:numPicBulletId=""1"">     <w:pict>      <v:shape id=""_x0000_i1031"" type=""#_x0000_t75"" style=""width:3in;height:276.75pt"" o:bullet=""t"">        <v:imagedata r:id=""rId2"" o:title=""testpic"" />      </v:shape>    </w:pict>  </w:numPicBullet>  …  <w:abstractNum w:abstractNumId=""7"">    <w:nsid w:val=""71A06359"" />    <w:multiLevelType w:val=""hybridMultilevel"" />    <w:tmpl w:val=""10643FE6"" />    <w:lvl w:ilvl=""0"" w:tplc=""B7663E56"">      <w:start w:val=""1"" />      <w:nfc w:val=""23"" />      <w:lvlText w:val=""AA"" />      <w:lvlPicBulletId w:val=""1"" />    </w:lvl>  </w:abstractNum> "
E			2.9.13 example 2	" cvc-enumeration-valid: Value 'multiLevel' is not facet-valid with respect to enumeration '[singleLevel, multilevel, hybridMultilevel]'. It must be a value from the enumeration. ::: "	" <w:abstractNum w:abstractNumId=""8"">    …    <w:multiLevelType w:val=""multiLevel"" />    …  </w:abstractNum> "
E			2.9.18 example 1	"The element type ""w:lvlRestart"" must be terminated by the matching end-tag ""</w:lvlRestart>"". Nested exception: The element type ""w:lvlRestart"" must be terminated by the matching end-tag ""</w:lvlRestart>""."	" <w:lvl w:ilvl=""2"">    <w:start w:val=""1"" />    <w:numFmt w:val=""lowerRoman"" />    <w:lvlRestart w:val=""0"">    <w:lvlText w:val=""%3)"" />    <w:lvlJc w:val=""left"" />    <w:pPr>      <w:ind w:left=""1080"" w:hanging=""360"" />    </w:pPr>    <w:rPr>      <w:rFonts w:hint=""default"" />    </w:rPr>  </w:lvl> "
E			2.9.2 example 1	"The element type ""w:abstractNum"" must be terminated by the matching end-tag ""</w:abstractNum>"". Nested exception: The element type ""w:abstractNum"" must be terminated by the matching end-tag ""</w:abstractNum>""."	" <w:numbering>  <w:abstractNum w:abstractNumId=""0"">    <w:abstractNum w:abstractNumId=""1"">    ...  <w:num w:numId=""1"">    <w:abstractNumId w:val=""0"" />  </w:num>  <w:num w:numId=""2"">    <w:abstractNumId w:val=""1"" />  </w:num>    ...  </w:numbering> "
E			2.9.21 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:nfc'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":numFmt, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lvlRestart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":pStyle, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":isLgl, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":suff, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lvlText, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lvlPicBulletId, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":legacy, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lvlJc, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":pPr, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":rPr}' is expected. ::: "	" <w:numPicBullet w:numPicBulletId=""1"">     <w:pict>       <v:shape id=""_x0000_i1031"" type=""#_x0000_t75"" style=""width:3in;height:276.75pt"" o:bullet=""t"">        <v:imagedata r:id=""rId2"" o:title=""testpic"" />      </v:shape>    </w:pict>  </w:numPicBullet>   ...  <w:abstractNum w:abstractNumId=""7"">    <w:nsid w:val=""71A06359"" />    <w:multiLevelType w:val=""hybridMultilevel"" />    <w:tmpl w:val=""10643FE6"" />    <w:lvl w:ilvl=""0"" w:tplc=""B7663E56"">      <w:start w:val=""1"" />      <w:nfc w:val=""23"" />      <w:lvlText w:val=""?"" />      <w:lvlPicBulletId w:val=""1"" />    </w:lvl>  </w:abstractNum> "
E			2.9.23 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:numPicBullet w:numPicBulletId=""0"">    <w:pict>      <v:shapetype id=""_x0000_t75"" coordsize=""21600,21600"" o:spt=""75"" o:preferrelative=""t"" path=""m@4@5l@4@11@9@11@9@5xe"" filled=""f"" stroked=""f"">        <v:stroke joinstyle=""miter"" />        <v:formulas>          <v:f eqn=""if lineDrawn pixelLineWidth 0"" />          <v:f eqn=""sum @0 1 0"" />          <v:f eqn=""sum 0 0 @1"" />          <v:f eqn=""prod @2 1 2"" />          <v:f eqn=""prod @3 21600 pixelWidth"" />          <v:f eqn=""prod @3 21600 pixelHeight"" />          <v:f eqn=""sum @0 0 1"" />          <v:f eqn=""prod @6 1 2"" />          <v:f eqn=""prod @7 21600 pixelWidth"" />          <v:f eqn=""sum @8 21600 0"" />          <v:f eqn=""prod @7 21600 pixelHeight"" />          <v:f eqn=""sum @10 21600 0"" />        </v:formulas>        <v:path o:extrusionok=""f"" gradientshapeok=""t"" o:connecttype=""rect"" />        <o:lock v:ext=""edit"" aspectratio=""t"" />      </v:shapetype>      <v:shape id=""_x0000_i1029"" type=""#_x0000_t75"" style=""width:11.25pt;height:11.25pt"" o:bullet=""t"">        <v:imagedata r:id=""rId1"" o:title=""sample picture"" />      </v:shape>    </w:pict> "
